Date,Open,High,Low,Close
12/2023,"75.93","76.76","67.72","71.65"
11/2023,"81.19","83.60","72.21","75.96"
10/2023,"90.96","91.86","80.77","81.02"
09/2023,"83.54","95.01","83.54","90.79"
08/2023,"81.59","84.88","77.62","83.63"
07/2023,"70.50","81.99","69.70","81.80"
06/2023,"67.73","74.68","66.81","70.64"
05/2023,"76.62","76.73","67.05","68.09"
04/2023,"80.55","83.53","73.97","76.78"
03/2023,"76.62","80.86","64.18","75.67"
02/2023,"79.07","80.63","72.29","77.05"
01/2023,"80.26","82.65","72.48","78.87"
12/2022,"78.56","80.44","76.85","80.26"
