Date,Open,High,Low,Close
12/2019,"55.42","62.34","55.38","61.06"
11/2019,"54.11","58.73","54.11","55.17"
10/2019,"54.34","56.91","51.00","54.18"
09/2019,"54.90","64.93","52.85","54.07"
08/2019,"57.69","57.99","50.52","55.10"
07/2019,"59.23","60.93","54.74","58.58"
06/2019,"53.40","59.92","50.61","58.47"
05/2019,"63.56","63.93","53.06","53.50"
04/2019,"60.30","66.60","60.30","63.91"
03/2019,"57.38","60.72","54.53","60.14"
02/2019,"53.99","57.80","51.24","57.22"
01/2019,"45.91","55.35","44.36","53.79"
12/2018,"45.37","46.51","44.74","45.41"
