Types,Date,Open,High,Low,Close
"brent",12/2019,"60.73","67.59","60.30","66.00"
"brent",11/2019,"59.45","64.27","59.40","60.49"
"brent",10/2019,"59.38","62.11","56.15","59.62"
"brent",09/2019,"58.80","71.95","57.23","59.25"
"brent",08/2019,"64.09","64.54","55.88","59.25"
"brent",07/2019,"65.05","67.65","61.29","65.05"
"brent",06/2019,"61.64","66.02","59.45","64.74"
"brent",05/2019,"71.73","73.40","61.39","61.99"
"brent",04/2019,"67.58","75.60","67.58","72.06"
"brent",03/2019,"66.48","68.69","64.02","67.58"
"brent",02/2019,"61.06","67.73","60.46","66.31"
"brent",01/2019,"54.12","63.15","52.51","60.84"
"brent",12/2018,"53.00","54.82","52.66","53.80"
"WTI",12/2019,"55.42","62.34","55.38","61.06"
"WTI",11/2019,"54.11","58.73","54.11","55.17"
"WTI",10/2019,"54.34","56.91","51.00","54.18"
"WTI",09/2019,"54.90","64.93","52.85","54.07"
"WTI",08/2019,"57.69","57.99","50.52","55.10"
"WTI",07/2019,"59.23","60.93","54.74","58.58"
"WTI",06/2019,"53.40","59.92","50.61","58.47"
"WTI",05/2019,"63.56","63.93","53.06","53.50"
"WTI",04/2019,"60.30","66.60","60.30","63.91"
"WTI",03/2019,"57.38","60.72","54.53","60.14"
"WTI",02/2019,"53.99","57.80","51.24","57.22"
"WTI",01/2019,"45.91","55.35","44.36","53.79"
"WTI",12/2018,"45.37","46.51","44.74","45.41"



